Model,RMSE,MAE,R²
ExtraTreesRegressor,9.21541669449305,4.87658971388271,0.9278561359086281
RandomForestRegressor,9.443853539446959,5.207720520109175,0.9242351215040275
KNeighborsRegressor,11.2028822784471,6.341147159029649,0.8933823785705705
DecisionTreeRegressor,11.643891864498343,6.703214831688648,0.8848229974834168
GradientBoostingRegressor,12.665040663005982,8.593114714245468,0.863735533025389
Mean of Predictions,9.469293997908736,5.341471320968305,0.9238263711059727
